"SADER-JARVIS METHOD"
""
"============================"
"amplitude = ",1.e-10,"(m)"
"k = ",2000,"(N/m)"
"f0 = ",20000,"(Hz)"
"Is force curve valid? ","YES"
"============================"
""
"Distance (m)","Force (N)"
5.0999999e-10,-7.309009054891352e-11
5.1249999e-10,-6.955441697220446e-11
5.1499999e-10,-5.716459775861712e-11
5.1749999e-10,-5.89159260639134e-11
5.1999999e-10,-6.362652697911891e-11
5.2249999e-10,-6.56971994898599e-11
5.2499999e-10,-6.48734470499132e-11
5.2749999e-10,-6.376486758489496e-11
5.2999999e-10,-6.325123410424854e-11
5.3249999e-10,-6.898039692737196e-11
5.3499993e-10,-6.811366706336558e-11
5.3749993e-10,-6.176069331579452e-11
5.3999993e-10,-6.12319369583275e-11
5.4249993e-10,-5.5551048676326465e-11
5.4499993e-10,-5.1474421684958174e-11
5.4749993e-10,-5.551051998106016e-11
5.4999993e-10,-5.93415195455517e-11
5.5249993e-10,-6.426617483536473e-11
5.5499993e-10,-6.393275217013592e-11
5.5749994e-10,-6.215372275909379e-11
5.5999994e-10,-5.846707491146332e-11
5.6249994e-10,-5.734600673583157e-11
5.6499994e-10,-5.793007371829922e-11
5.6749994e-10,-5.520542344037062e-11
5.6999994e-10,-5.905223484349289e-11
5.7249994e-10,-6.043769805846948e-11
5.7499994e-10,-5.736290211385588e-11
5.7749994e-10,-5.651887805250902e-11
5.7999994e-10,-5.569542073479365e-11
5.8249994e-10,-5.2640405104327095e-11
5.8499994e-10,-5.761404614754729e-11
5.8749994e-10,-5.443056696024306e-11
5.8999994e-10,-5.835754457418633e-11
5.9249994e-10,-5.802754266208064e-11
5.9499994e-10,-4.801695182853445e-11
5.9749994e-10,-5.4416118819802355e-11
5.9999994e-10,-4.932130987229881e-11
6.0249994e-10,-5.167460748111424e-11
6.0499994e-10,-5.711259534258883e-11
6.0749994e-10,-4.7871356027246094e-11
6.0999994e-10,-5.254359348931407e-11
6.1249994e-10,-5.162331987244686e-11
6.1499994e-10,-5.0882404647324116e-11
6.1749994e-10,-5.2124337354902216e-11
